NO,TIME,SUHU,SET POINT,EROR,DELTA EROR,OUTPUT FUZZY,OUTPUT M
171,01:57:20,51.44,90.00,38.56,-0.12,2.57,M3
172,01:57:22,51.56,90.00,38.44,-0.12,2.57,M3
173,01:57:24,51.69,90.00,38.31,-0.12,2.57,M3
174,01:57:26,51.81,90.00,38.19,-0.12,2.57,M3
175,01:57:28,51.94,90.00,38.06,-0.12,2.57,M3
176,01:57:30,52.00,90.00,38.00,-0.06,2.59,M3
177,01:57:32,52.19,90.00,37.81,-0.19,2.56,M3
178,01:57:35,52.25,90.00,37.75,-0.06,2.59,M3
179,01:57:37,52.44,90.00,37.56,-0.19,2.56,M3
180,01:57:39,52.56,90.00,37.44,-0.12,2.57,M3
181,01:57:41,52.62,90.00,37.38,-0.06,2.59,M3
182,01:57:43,52.75,90.00,37.25,-0.12,2.57,M3
183,01:57:45,52.88,90.00,37.12,-0.12,2.57,M3
184,01:57:47,53.00,90.00,37.00,-0.12,2.57,M3
185,01:57:49,53.12,90.00,36.88,-0.12,2.57,M3
186,01:57:51,53.25,90.00,36.75,-0.12,2.57,M3
187,01:57:53,53.38,90.00,36.62,-0.12,2.57,M3
188,01:57:55,53.50,90.00,36.50,-0.12,2.57,M3
189,01:57:57,53.56,90.00,36.44,-0.06,2.59,M3
190,01:57:59,53.75,90.00,36.25,-0.19,2.56,M3
191,01:58:01,53.88,90.00,36.12,-0.12,2.57,M3
192,01:58:03,54.00,90.00,36.00,-0.12,2.57,M3
193,01:58:05,54.06,90.00,35.94,-0.06,2.58,M3
194,01:58:07,54.19,90.00,35.81,-0.12,2.57,M3
195,01:58:09,54.31,90.00,35.69,-0.12,2.57,M3
196,01:58:11,54.44,90.00,35.56,-0.12,2.57,M3
197,01:58:13,54.56,90.00,35.44,-0.12,2.57,M3
198,01:58:15,54.69,90.00,35.31,-0.12,2.57,M3
199,01:58:17,54.81,90.00,35.19,-0.12,2.57,M3
200,01:58:19,54.94,90.00,35.06,-0.12,2.57,M3
201,01:58:21,55.06,90.00,34.94,-0.12,2.55,M3
202,01:58:23,55.19,90.00,34.81,-0.12,2.54,M3
203,01:58:25,55.25,90.00,34.75,-0.06,2.54,M3
204,01:58:27,55.44,90.00,34.56,-0.19,2.50,M3
205,01:58:29,55.50,90.00,34.50,-0.06,2.52,M3
206,01:58:31,55.62,90.00,34.38,-0.12,2.50,M3
207,01:58:33,55.75,90.00,34.25,-0.12,2.49,M3
208,01:58:35,55.94,90.00,34.06,-0.19,2.45,M3
209,01:58:37,56.00,90.00,34.00,-0.06,2.47,M3
210,01:58:39,56.12,90.00,33.88,-0.12,2.46,M3
211,01:58:41,56.25,90.00,33.75,-0.12,2.45,M3
212,01:58:43,56.38,90.00,33.62,-0.12,2.44,M3
213,01:58:45,56.50,90.00,33.50,-0.12,2.43,M3
214,01:58:47,56.62,90.00,33.38,-0.12,2.41,M3
215,01:58:49,56.75,90.00,33.25,-0.12,2.40,M3
216,01:58:51,56.88,90.00,33.12,-0.12,2.39,M3
217,01:58:53,57.00,90.00,33.00,-0.12,2.38,M3
218,01:58:55,57.12,90.00,32.88,-0.12,2.37,M3
219,01:58:57,57.25,90.00,32.75,-0.12,2.36,M3
220,01:58:59,57.38,90.00,32.62,-0.12,2.35,M3
221,01:59:01,57.50,90.00,32.50,-0.12,2.34,M3
222,01:59:03,57.62,90.00,32.38,-0.12,2.33,M3
